"ORDEN","FECHA_ORDEN","FECHA_DESPACHO","ANO_ORDEN","TIPO_DESPACHO","CLIENTE","SEGMENTO","PAIS","CIUDAD","ESTADO","REGION","IDPRODUCTO","CATEGORIA","SUBCATEGORIA","NOMBRE_PRODUCTO","VENTAUSD","CANTIDAD","DESCUENTO","UTILIDAD_EMPRESA"
"CA-2014-115812-12","6/9/14","6/14/14",2014,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California","West","TEC-PH-10002033","Technology","Phones","Konftel 250 Conference phone - Charcoal black",911.424,4,0.2,68.3568
"CA-2017-114412-13","4/15/17","4/20/17",2017,"Standard Class","Andrew Allen","Consumer","United States","Concord","North Carolina","South","OFF-PA-10002365","Office Supplies","Paper","Xerox 1967",15.552,3,0.2,5.4432
"CA-2016-161389-14","12/5/16","12/10/16",2016,"Standard Class","Irene Maddox","Consumer","United States","Seattle","Washington","West","OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine",407.976,3,0.2,132.5922
"US-2015-118983-15","11/22/15","11/26/15",2015,"Standard Class","Harold Pawlan","Home Office","United States","Fort Worth","Texas","Central","OFF-AP-10002311","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
"US-2015-118983-16","11/22/15","11/26/15",2015,"Standard Class","Harold Pawlan","Home Office","United States","Fort Worth","Texas","Central","OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders",2.544,3,0.8,-3.816
"CA-2014-105893-17","11/11/14","11/18/14",2014,"Standard Class","Pete Kriz","Consumer","United States","Madison","Wisconsin","Central","OFF-ST-10004186","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
"CA-2014-167164-18","5/13/14","5/15/14",2014,"Second Class","Alejandro Grove","Consumer","United States","West Jordan","Utah","West","OFF-ST-10000107","Office Supplies","Storage","Fellowes Super Stor/Drawer",55.5,2,0,9.99
"CA-2014-143336-19","8/27/14","9/1/14",2014,"Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California","West","OFF-AR-10003056","Office Supplies","Art","Newell 341",8.56,2,0,2.4824
"CA-2014-143336-20","8/27/14","9/1/14",2014,"Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California","West","TEC-PH-10001949","Technology","Phones","Cisco SPA 501G IP Phone",213.48,3,0.2,16.011
"CA-2014-143336-21","8/27/14","9/1/14",2014,"Second Class","Zuschuss Donatelli","Consumer","United States","San Francisco","California","West","OFF-BI-10002215","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
"CA-2016-137330-22","12/9/16","12/13/16",2016,"Standard Class","Ken Black","Corporate","United States","Fremont","Nebraska","Central","OFF-AR-10000246","Office Supplies","Art","Newell 318",19.46,7,0,5.0596
"CA-2016-137330-23","12/9/16","12/13/16",2016,"Standard Class","Ken Black","Corporate","United States","Fremont","Nebraska","Central","OFF-AP-10001492","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
"US-2017-156909-24","7/16/17","7/18/17",2017,"Second Class","Sandra Flanagan","Consumer","United States","Philadelphia","Pennsylvania","East","FUR-CH-10002774","Furniture","Chairs","Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
"CA-2015-106320-25","9/25/15","9/30/15",2015,"Standard Class","Emily Burns","Consumer","United States","Orem","Utah","West","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",1044.63,3,0,240.2649
"CA-2016-121755-26","1/16/16","1/20/16",2016,"Second Class","Eric Hoffmann","Consumer","United States","Los Angeles","California","West","OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders",11.648,2,0.2,4.2224
"CA-2016-121755-27","1/16/16","1/20/16",2016,"Second Class","Eric Hoffmann","Consumer","United States","Los Angeles","California","West","TEC-AC-10003027","Technology","Accessories","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,3,0,11.7741
"US-2015-150630-28","9/17/15","9/21/15",2015,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","East","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
"US-2015-150630-29","9/17/15","9/21/15",2015,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","East","OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems",9.618,2,0.7,-7.0532
"US-2015-150630-30","9/17/15","9/21/15",2015,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","East","FUR-FU-10004848","Furniture","Furnishings","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
"US-2015-150630-31","9/17/15","9/21/15",2015,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","East","OFF-EN-10001509","Office Supplies","Envelopes","Poly String Tie Envelopes",3.264,2,0.2,1.1016
"US-2015-150630-32","9/17/15","9/21/15",2015,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","East","OFF-AR-10004042","Office Supplies","Art","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
"US-2015-150630-33","9/17/15","9/21/15",2015,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","East","OFF-BI-10001525","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
"US-2015-150630-34","9/17/15","9/21/15",2015,"Standard Class","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","East","OFF-AR-10001683","Office Supplies","Art","Lumber Crayons",15.76,2,0.2,3.546
"CA-2017-107727-35","10/19/17","10/23/17",2017,"Second Class","Matt Abelman","Home Office","United States","Houston","Texas","Central","OFF-PA-10000249","Office Supplies","Paper","Easy-staple paper",29.472,3,0.2,9.9468
"CA-2016-117590-36","12/8/16","12/10/16",2016,"First Class","Gene Hale","Corporate","United States","Richardson","Texas","Central","TEC-PH-10004977","Technology","Phones","GE 30524EE4",1097.544,7,0.2,123.4737
"CA-2016-117590-37","12/8/16","12/10/16",2016,"First Class","Gene Hale","Corporate","United States","Richardson","Texas","Central","FUR-FU-10003664","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
"CA-2015-117415-38","12/27/15","12/31/15",2015,"Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas","Central","OFF-EN-10002986","Office Supplies","Envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
"CA-2015-117415-39","12/27/15","12/31/15",2015,"Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas","Central","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
"CA-2015-117415-40","12/27/15","12/31/15",2015,"Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas","Central","FUR-CH-10004218","Furniture","Chairs","Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
"CA-2015-117415-41","12/27/15","12/31/15",2015,"Standard Class","Steve Nguyen","Home Office","United States","Houston","Texas","Central","TEC-PH-10000486","Technology","Phones","Plantronics HL10 Handset Lifter",371.168,4,0.2,41.7564
"CA-2017-120999-42","9/10/17","9/15/17",2017,"Standard Class","Linda Cazamias","Corporate","United States","Naperville","Illinois","Central","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550",147.168,4,0.2,16.5564
"CA-2016-101343-43","7/17/16","7/22/16",2016,"Standard Class","Ruben Ausman","Corporate","United States","Los Angeles","California","West","OFF-ST-10003479","Office Supplies","Storage","Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
"CA-2017-139619-44","9/19/17","9/23/17",2017,"Standard Class","Erin Smith","Corporate","United States","Melbourne","Florida","South","OFF-ST-10003282","Office Supplies","Storage","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
"CA-2016-118255-45","3/11/16","3/13/16",2016,"First Class","Odella Nelson","Corporate","United States","Eagan","Minnesota","Central","TEC-AC-10000171","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
"CA-2016-118255-46","3/11/16","3/13/16",2016,"First Class","Odella Nelson","Corporate","United States","Eagan","Minnesota","Central","OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,2,0,8.2062
"CA-2014-146703-47","10/20/14","10/25/14",2014,"Second Class","Patrick O'Donnell","Consumer","United States","Westland","Michigan","Central","OFF-ST-10001713","Office Supplies","Storage","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
"CA-2016-169194-48","6/20/16","6/25/16",2016,"Standard Class","Lena Hernandez","Consumer","United States","Dover","Delaware","East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45,3,0,4.95
"CA-2016-169194-49","6/20/16","6/25/16",2016,"Standard Class","Lena Hernandez","Consumer","United States","Dover","Delaware","East","TEC-PH-10003988","Technology","Phones","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
"CA-2015-115742-50","4/18/15","4/22/15",2015,"Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana","Central","OFF-BI-10004410","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
"CA-2015-115742-51","4/18/15","4/22/15",2015,"Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana","Central","OFF-LA-10002762","Office Supplies","Labels","Avery 485",75.18,6,0,35.3346
"CA-2015-115742-52","4/18/15","4/22/15",2015,"Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana","Central","FUR-FU-10001706","Furniture","Furnishings","Longer-Life Soft White Bulbs",6.16,2,0,2.9568
"CA-2015-115742-53","4/18/15","4/22/15",2015,"Standard Class","Darren Powers","Consumer","United States","New Albany","Indiana","Central","FUR-CH-10003061","Furniture","Chairs","Global Leather Task Chair, Black",89.99,1,0,17.0981
"CA-2016-105816-54","12/11/16","12/17/16",2016,"Standard Class","Janet Molinari","Corporate","United States","New York City","New York","East","OFF-FA-10000304","Office Supplies","Fasteners","Advantus Push Pins",15.26,7,0,6.2566
"CA-2016-105816-55","12/11/16","12/17/16",2016,"Standard Class","Janet Molinari","Corporate","United States","New York City","New York","East","TEC-PH-10002447","Technology","Phones","AT&T CL83451 4-Handset Telephone",1029.95,5,0,298.6855
"CA-2016-111682-56","6/17/16","6/18/16",2016,"First Class","Ted Butterfield","Consumer","United States","Troy","New York","East","OFF-ST-10000604","Office Supplies","Storage","Home/Office Personal File Carts",208.56,6,0,52.14
"CA-2016-111682-57","6/17/16","6/18/16",2016,"First Class","Ted Butterfield","Consumer","United States","Troy","New York","East","OFF-PA-10001569","Office Supplies","Paper","Xerox 232",32.4,5,0,15.552
"CA-2016-111682-58","6/17/16","6/18/16",2016,"First Class","Ted Butterfield","Consumer","United States","Troy","New York","East","FUR-CH-10003968","Furniture","Chairs","Novimex Turbo Task Chair",319.41,5,0.1,7.098
"CA-2016-111682-59","6/17/16","6/18/16",2016,"First Class","Ted Butterfield","Consumer","United States","Troy","New York","East","OFF-PA-10000587","Office Supplies","Paper","Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
"CA-2016-111682-60","6/17/16","6/18/16",2016,"First Class","Ted Butterfield","Consumer","United States","Troy","New York","East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30,2,0,3.3
"CA-2016-111682-61","6/17/16","6/18/16",2016,"First Class","Ted Butterfield","Consumer","United States","Troy","New York","East","OFF-BI-10001460","Office Supplies","Binders","Plastic Binding Combs",48.48,4,0.2,16.362
"CA-2016-111682-62","6/17/16","6/18/16",2016,"First Class","Ted Butterfield","Consumer","United States","Troy","New York","East","OFF-AR-10001868","Office Supplies","Art","Prang Dustless Chalk Sticks",1.68,1,0,0.84
"CA-2015-135545-63","11/24/15","11/30/15",2015,"Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California","West","TEC-AC-10004633","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
"CA-2015-135545-64","11/24/15","11/30/15",2015,"Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California","West","OFF-BI-10001078","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
"CA-2015-135545-65","11/24/15","11/30/15",2015,"Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California","West","OFF-PA-10003892","Office Supplies","Paper","Xerox 1943",146.73,3,0,68.9631
"CA-2015-135545-66","11/24/15","11/30/15",2015,"Standard Class","Kunst Miller","Consumer","United States","Los Angeles","California","West","FUR-FU-10000397","Furniture","Furnishings","Luxo Economy Swing Arm Lamp",79.76,4,0,22.3328
"US-2015-164175-67","4/30/15","5/5/15",2015,"Standard Class","Paul Stevenson","Home Office","United States","Chicago","Illinois","Central","FUR-CH-10001146","Furniture","Chairs","Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
"CA-2014-106376-68","12/5/14","12/10/14",2014,"Standard Class","Brendan Sweed","Corporate","United States","Gilbert","Arizona","West","OFF-AR-10002671","Office Supplies","Art","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
"CA-2014-106376-69","12/5/14","12/10/14",2014,"Standard Class","Brendan Sweed","Corporate","United States","Gilbert","Arizona","West","TEC-PH-10002726","Technology","Phones","netTALK DUO VoIP Telephone Service",167.968,4,0.2,62.988
"CA-2016-119823-70","6/4/16","6/6/16",2016,"First Class","Karen Daniels","Consumer","United States","Springfield","Virginia","South","OFF-PA-10000482","Office Supplies","Paper","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
"CA-2016-106075-71","9/18/16","9/23/16",2016,"Standard Class","Henry MacAllister","Consumer","United States","New York City","New York","East","OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets",4.616,1,0.2,1.731
"CA-2017-114440-72","9/14/17","9/17/17",2017,"Second Class","Tracy Blumstein","Consumer","United States","Jackson","Michigan","Central","OFF-PA-10004675","Office Supplies","Paper","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
"US-2015-134026-73","4/26/15","5/2/15",2015,"Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee","South","FUR-CH-10000513","Furniture","Chairs","High-Back Leather Manager's Chair",831.936,8,0.2,-114.3912
"US-2015-134026-74","4/26/15","5/2/15",2015,"Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee","South","FUR-FU-10003708","Furniture","Furnishings","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
"US-2015-134026-75","4/26/15","5/2/15",2015,"Standard Class","Joel Eaton","Consumer","United States","Memphis","Tennessee","South","OFF-ST-10004123","Office Supplies","Storage","Safco Industrial Wire Shelving System",72.784,1,0.2,-18.196
"US-2017-118038-76","12/9/17","12/11/17",2017,"First Class","Ken Brennan","Corporate","United States","Houston","Texas","Central","OFF-BI-10004182","Office Supplies","Binders","Economy Binders",1.248,3,0.8,-1.9344
"US-2017-118038-77","12/9/17","12/11/17",2017,"First Class","Ken Brennan","Corporate","United States","Houston","Texas","Central","FUR-FU-10000260","Furniture","Furnishings","6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
"US-2017-118038-78","12/9/17","12/11/17",2017,"First Class","Ken Brennan","Corporate","United States","Houston","Texas","Central","OFF-ST-10000615","Office Supplies","Storage","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
"US-2014-147606-79","11/26/14","12/1/14",2014,"Second Class","Joel Eaton","Consumer","United States","Houston","Texas","Central","FUR-FU-10003194","Furniture","Furnishings","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
"CA-2016-127208-80","6/12/16","6/15/16",2016,"First Class","Stewart Carmichael","Corporate","United States","Decatur","Alabama","South","OFF-AP-10002118","Office Supplies","Appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
"CA-2016-127208-81","6/12/16","6/15/16",2016,"First Class","Stewart Carmichael","Corporate","United States","Decatur","Alabama","South","OFF-BI-10002309","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,3,0,8.0352
"CA-2014-139451-82","10/12/14","10/16/14",2014,"Standard Class","Duane Noonan","Consumer","United States","San Francisco","California","West","OFF-AR-10002053","Office Supplies","Art","Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
"CA-2014-139451-83","10/12/14","10/16/14",2014,"Standard Class","Duane Noonan","Consumer","United States","San Francisco","California","West","OFF-ST-10002370","Office Supplies","Storage","Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
"CA-2015-149734-84","9/3/15","9/8/15",2015,"Standard Class","Julie Creighton","Corporate","United States","Durham","North Carolina","South","OFF-EN-10000927","Office Supplies","Envelopes","Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.984,7,0.2,62.8075
"US-2017-119662-85","11/13/17","11/16/17",2017,"First Class","Christopher Schild","Home Office","United States","Chicago","Illinois","Central","OFF-ST-10003656","Office Supplies","Storage","Safco Industrial Wire Shelving",230.376,3,0.2,-48.9549
"CA-2017-140088-86","5/28/17","5/30/17",2017,"Second Class","Patrick O'Donnell","Consumer","United States","Columbia","South Carolina","South","FUR-CH-10000863","Furniture","Chairs","Novimex Swivel Fabric Task Chair",301.96,2,0,33.2156
"CA-2017-155558-87","10/26/17","11/2/17",2017,"Standard Class","Paul Gonzalez","Consumer","United States","Rochester","Minnesota","Central","TEC-AC-10001998","Technology","Accessories","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,0,6.7966
"CA-2017-155558-88","10/26/17","11/2/17",2017,"Standard Class","Paul Gonzalez","Consumer","United States","Rochester","Minnesota","Central","OFF-LA-10000134","Office Supplies","Labels","Avery 511",6.16,2,0,2.9568
"CA-2016-159695-89","4/5/16","4/10/16",2016,"Second Class","Gary Mitchum","Home Office","United States","Houston","Texas","Central","OFF-ST-10003442","Office Supplies","Storage","Eldon Portable Mobile Manager",158.368,7,0.2,13.8572
"CA-2016-109806-90","9/17/16","9/22/16",2016,"Standard Class","Jim Sink","Corporate","United States","Los Angeles","California","West","OFF-AR-10004930","Office Supplies","Art","Turquoise Lead Holder with Pocket Clip",20.1,3,0,6.633
"CA-2016-109806-91","9/17/16","9/22/16",2016,"Standard Class","Jim Sink","Corporate","United States","Los Angeles","California","West","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550",73.584,2,0.2,8.2782
"CA-2016-109806-92","9/17/16","9/22/16",2016,"Standard Class","Jim Sink","Corporate","United States","Los Angeles","California","West","OFF-PA-10000304","Office Supplies","Paper","Xerox 1995",6.48,1,0,3.1104
"CA-2015-149587-93","1/31/15","2/5/15",2015,"Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota","Central","OFF-PA-10003177","Office Supplies","Paper","Xerox 1999",12.96,2,0,6.2208
"CA-2015-149587-94","1/31/15","2/5/15",2015,"Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota","Central","FUR-FU-10003799","Furniture","Furnishings","Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
"CA-2015-149587-95","1/31/15","2/5/15",2015,"Second Class","Karl Braun","Consumer","United States","Minneapolis","Minnesota","Central","OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers",32.96,2,0,16.1504
"US-2017-109484-96","11/6/17","11/12/17",2017,"Standard Class","Roger Barcio","Home Office","United States","Portland","Oregon","West","OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder",5.682,1,0.7,-3.788
"CA-2017-161018-97","11/9/17","11/11/17",2017,"Second Class","Parhena Norris","Home Office","United States","New York City","New York","East","FUR-FU-10000629","Furniture","Furnishings","9-3/4 Diameter Round Wall Clock",96.53,7,0,40.5426
"CA-2017-157833-98","6/17/17","6/20/17",2017,"First Class","Katherine Ducich","Consumer","United States","San Francisco","California","West","OFF-BI-10001721","Office Supplies","Binders","Trimflex Flexible Post Binders",51.312,3,0.2,17.9592
"CA-2016-149223-99","9/6/16","9/11/16",2016,"Standard Class","Elpida Rittenbach","Corporate","United States","Saint Paul","Minnesota","Central","OFF-AP-10000358","Office Supplies","Appliances","Fellowes Basic Home/Office Series Surge Protectors",77.88,6,0,22.5852
"CA-2016-158568-100","8/29/16","9/2/16",2016,"Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois","Central","OFF-PA-10003256","Office Supplies","Paper","Avery Personal Creations Heavyweight Cards",64.624,7,0.2,22.6184
"CA-2016-158568-101","8/29/16","9/2/16",2016,"Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois","Central","TEC-AC-10001767","Technology","Accessories","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.976,3,0.2,-10.7973
"CA-2016-158568-102","8/29/16","9/2/16",2016,"Standard Class","Rick Bensley","Home Office","United States","Chicago","Illinois","Central","OFF-BI-10002609","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems",1.788,3,0.8,-3.0396
"CA-2016-129903-103","12/1/16","12/4/16",2016,"Second Class","Gary Zandusky","Consumer","United States","Rochester","Minnesota","Central","OFF-PA-10004040","Office Supplies","Paper","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92,4,0,11.7208
"US-2015-156867-104","11/13/15","11/17/15",2015,"Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado","West","TEC-AC-10001552","Technology","Accessories","Logitech K350 2.4Ghz Wireless Keyboard",238.896,6,0.2,-26.8758
"US-2015-156867-105","11/13/15","11/17/15",2015,"Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado","West","FUR-FU-10004006","Furniture","Furnishings","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
"US-2015-156867-106","11/13/15","11/17/15",2015,"Standard Class","Lena Cacioppo","Consumer","United States","Aurora","Colorado","West","OFF-BI-10002794","Office Supplies","Binders","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
"CA-2017-119004-107","11/23/17","11/28/17",2017,"Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina","South","TEC-AC-10003499","Technology","Accessories","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.112,8,0.2,17.6016
"CA-2017-119004-108","11/23/17","11/28/17",2017,"Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina","South","TEC-PH-10002844","Technology","Phones","Speck Products Candyshell Flip Case",27.992,1,0.2,2.0994
"CA-2017-119004-109","11/23/17","11/28/17",2017,"Standard Class","Janet Martin","Consumer","United States","Charlotte","North Carolina","South","OFF-AR-10000390","Office Supplies","Art","Newell Chalk Holder",3.304,1,0.2,1.0738
"CA-2015-129476-110","10/15/15","10/20/15",2015,"Standard Class","Pete Armstrong","Home Office","United States","Orland Park","Illinois","Central","TEC-AC-10000844","Technology","Accessories","Logitech Gaming G510s - Keyboard",339.96,5,0.2,67.992
"CA-2017-146780-111","12/25/17","12/30/17",2017,"Standard Class","Cynthia Voltz","Corporate","United States","New York City","New York","East","FUR-FU-10001934","Furniture","Furnishings","Magnifier Swing Arm Lamp",41.96,2,0,10.9096
"CA-2016-128867-112","11/3/16","11/10/16",2016,"Standard Class","Clay Ludtke","Consumer","United States","Urbandale","Iowa","Central","OFF-AR-10000380","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
"CA-2016-128867-113","11/3/16","11/10/16",2016,"Standard Class","Clay Ludtke","Consumer","United States","Urbandale","Iowa","Central","OFF-BI-10003981","Office Supplies","Binders","Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
